#Release 14.2 - par P.28xd (nt)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue May 19 17:15:05 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Main_map.ncd
#OUTPUT FILE:      Main_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -4
#PACKAGE:          cp132
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,PROG_B,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,clk_48Khz,IOB,IO_L11P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
A4,,,NC,,,,,,,,,,,,
A5,,,VCCAUX,,,,,,,,2.5,,,,
A6,,,VCCO_0,,,0,,,,,2.50,,,,
A7,outsegs1<5>,IOB,IO_L07P_0/GCLK10,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
A8,,,GND,,,,,,,,,,,,
A9,outsegs1<2>,IOB,IO_L05N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
A10,outsegs1<1>,IOB,IO_L04P_0/GCLK4,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
A11,,,VCCINT,,,,,,,,1.2,,,,
A12,,,NC,,,,,,,,,,,,
A13,aQ<6>,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A14,,,TDO,,,,,,,,,,,,
B1,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
B2,clk_12Mhz,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B3,,DIFFS,IO_L11N_0/HSWAP,UNUSED,,0,,,,,,,,,
B4,inc_min,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B5,clk_10Khz,IOB,IO_L09P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
B6,AlarmTrigger,IOB,IO_L08P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B7,outsegs1<6>,IOB,IO_L07N_0/GCLK11,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
B8,clk,IBUF,IP_L06P_0/GCLK8,INPUT,LVCMOS25*,0,,,,NONE,,LOCATED,NO,NONE,
B9,outsegs1<3>,IOB,IO_L05P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
B10,,,VCCO_0,,,0,,,,,2.50,,,,
B11,,,NC,,,,,,,,,,,,
B12,,,NC,,,,,,,,,,,,
B13,,,TCK,,,,,,,,,,,,
B14,,,TMS,,,,,,,,,,,,
C1,,,NC,,,,,,,,,,,,
C2,,DIFFS,IO_L02N_3,UNUSED,,3,,,,,,,,,
C3,,DIFFM,IO_L02P_3,UNUSED,,3,,,,,,,,,
C4,,,NC,,,,,,,,,,,,
C5,,DIFFS,IO_L09N_0,UNUSED,,0,,,,,,,,,
C6,,DIFFS,IO_L08N_0/VREF_0,UNUSED,,0,,,,,,,,,
C7,,,GND,,,,,,,,,,,,
C8,,DIFFSI,IP_L06N_0/GCLK9,UNUSED,,0,,,,,,,,,
C9,outsegs1<4>,IOB,IO_L04N_0/GCLK5,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C10,,,GND,,,,,,,,,,,,
C11,,IBUF,IP,UNUSED,,0,,,,,,,,,
C12,outsegs1<0>,IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
C13,aQ<5>,IOB,IO_L10N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C14,aQ<4>,IOB,IO_L10P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D1,,,NC,,,,,,,,,,,,
D2,,IOB,IO,UNUSED,,3,,,,,,,,,
D3,,,VCCINT,,,,,,,,1.2,,,,
D12,aQ<3>,IOB,IO_L09N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D13,aQ<2>,IOB,IO_L09P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D14,,,NC,,,,,,,,,,,,
E1,,,VCCO_3,,,3,,,,,2.50,,,,
E2,pause,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
E3,,,GND,,,,,,,,,,,,
E12,,,VCCAUX,,,,,,,,2.5,,,,
E13,,,VCCO_1,,,1,,,,,2.50,,,,
E14,,,GND,,,,,,,,,,,,
F1,,DIFFM,IO_L05P_3/LHCLK2,UNUSED,,3,,,,,,,,,
F2,,DIFFS,IO_L04N_3/LHCLK1,UNUSED,,3,,,,,,,,,
F3,mode<1>,IBUF,IO_L04P_3/LHCLK0,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
F12,Four_Wheels<0>,IOB,IO/A0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F13,aQ<1>,IOB,IO_L08N_1/A1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F14,aQ<0>,IOB,IO_L08P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G1,,DIFFS,IO_L05N_3/LHCLK3/IRDY2,UNUSED,,3,,,,,,,,,
G2,,,GND,,,,,,,,,,,,
G3,mode<0>,IBUF,IO_L06P_3/LHCLK4/TRDY2,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
G12,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
G13,Q<6>,IOB,IO_L07N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G14,Q<5>,IOB,IO_L07P_1/A4/RHCLK6,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H1,,DIFFS,IO_L06N_3/LHCLK5,UNUSED,,3,,,,,,,,,
H2,,DIFFM,IO_L07P_3/LHCLK6,UNUSED,,3,,,,,,,,,
H3,,DIFFS,IO_L07N_3/LHCLK7,UNUSED,,3,,,,,,,,,
H12,BigO<1>,IOB,IO_L06N_1/A5/RHCLK5,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H13,SQ<1>,IOB,IO_L06P_1/A6/RHCLK4/IRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H14,,,GND,,,,,,,,,,,,
J1,,,GND,,,,,,,,,,,,
J2,,,VCCO_3,,,3,,,,,2.50,,,,
J3,clk_1536Khz,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J12,Four_Wheels<1>,IOB,IO_L04N_1/A9/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J13,Q<1>,IOB,IO_L05P_1/A8/RHCLK2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J14,Q<3>,IOB,IO_L05N_1/A7/RHCLK3/TRDY1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K1,,,VCCAUX,,,,,,,,2.5,,,,
K2,,,NC,,,,,,,,,,,,
K3,inc_hr,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K12,,,GND,,,,,,,,,,,,
K13,Q<2>,IOB,IO/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K14,Four_Wheels<3>,IOB,IO_L04P_1/A10/RHCLK0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
